Name,Brand,Price,Currency,Image,AltText,NewImage,URL,ProductID,Size,Supplier,Origin,Category_1,Category_2,Highlights,Description
Haj Arafa Granola Nuts - 300 gram,Haj Arafa,92.3,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h25/h33/33681953751070/592594_main.jpg_200Wx200H,Haj Arafa Granola Nuts - 300 gram,https://cdnprod.mafretailproxy.com/sys-master-root/h54/h1e/33681954013214/592594_main.jpg_1700Wx1700H,https://www.carrefouregypt.com/mafegy/en/granola/hajarafa-granola-coconut-300g/p/592594,592594,,Carrefour,Egypt,Food Cupboard,Breakfast Cereals & Bars,,
Haj Arafa Meat Stock Powder Mix - 100 gram,Haj Arafa,27.75,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h8d/h51/14953332932638/507797_main.jpg_200Wx200H,Haj Arafa Meat Stock Powder Mix - 100 gram,https://cdnprod.mafretailproxy.com/sys-master-root/h22/h06/14953333063710/507797_main.jpg_1700Wx1700H,https://www.carrefouregypt.com/mafegy/en/spices/haj-arafa-chicken-stock-mix-100gm/p/507797,507797,100g,Carrefour,Egypt,Food Cupboard,Cooking Ingredients,"Ideal for soup bases, general cooking and meat marinades for braising, roasting, boiling and barbequing.
Excellent for all types of stir-fried dishes meat, fish, vegetable, and more.","It is used to improve the taste of food.
Made with natural ingredients, chicken mix helps create authentic Chinese dishes because it boosts chicken umami without masking flavors.
Ideal for soup bases, general cooking and meat marinades for braising, roasting, boiling and barbequing.
Excellent for all types of stir-fried dishes meat, fish, vegetable, and more."
Abu Auf Pretzels - Chili and Lemon - 55gm,Abu auf,7.15,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h7b/h28/49654379905054/200Wx200H_613588_main.jpg,Abu Auf Pretzels - Chili and Lemon - 55gm,https://cdnprod.mafretailproxy.com/sys-master-root/h95/hda/49654380167198/1700Wx1700H_613588_main.jpg,https://www.carrefouregypt.com/mafegy/en/chips/abu-auf-pretzels-chili-lemon-55g/p/613588,613588,,Carrefour,Egypt,Food Cupboard,"Chips, Dips & Snacks",,
Al Asari Dust Tea - 25 Bags,Al Asari,13.9,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h28/h53/48996352163870/200Wx200H_609126_main.jpg,Al Asari Dust Tea - 25 Bags,https://cdnprod.mafretailproxy.com/sys-master-root/hf7/h5c/48996352426014/1700Wx1700H_609126_main.jpg,https://www.carrefouregypt.com/mafegy/en/tea-bags/al-asari-dust-tea-25tb/p/609126,609126,,Carrefour,Egypt,Beverages,Tea,,
Ahlawy Wafer with Chocolate - 23 gram,Americana,3.05,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/ha3/hd7/49899368251422/200Wx200H_615229_main.jpg,Ahlawy Wafer with Chocolate - 23 gram,https://cdnprod.mafretailproxy.com/sys-master-root/hd5/hcd/49899368513566/1700Wx1700H_615229_main.jpg,https://www.carrefouregypt.com/mafegy/en/wafers/ahlawy-wafer-chocolate-23g/p/615229,615229,,Carrefour,Egypt,Food Cupboard,"Biscuits, Crackers & Cakes",,
Abu Ali Mixed Spices - 90 gram,Abu ali,48,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hff/h23/14952277409822/37101_main.jpg_200Wx200H,Abu Ali Mixed Spices - 90 gram,https://cdnprod.mafretailproxy.com/sys-master-root/h2d/h20/14952277540894/37101_main.jpg_1700Wx1700H,https://www.carrefouregypt.com/mafegy/en/spices/abu-ali-spices-mix-glass-pot-90g/p/37101,37101,90g,Carrefour,Egypt,Food Cupboard,Cooking Ingredients,This all-purpose spice saves your time and efforts in avoiding tedious meal preparation.,"The Spice Powder enhances the taste of all your dishes effectively.
This all-purpose spice saves your time and efforts in avoiding tedious meal preparation."
Zamzam Spices - 70 gram,Zamzam,29.95,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h6a/hbd/15396832215070/547096_main.jpg_200Wx200H,Zamzam Spices - 70 gram,https://cdnprod.mafretailproxy.com/sys-master-root/heb/hb5/15396832477214/547096_main.jpg_1700Wx1700H,https://www.carrefouregypt.com/mafegy/en/spices/zamzam-spices-70g/p/547096,547096,,Carrefour,Egypt,Food Cupboard,Cooking Ingredients,"Has been studied for possible effects in lowering blood sugar levels.
It is also an antioxidant, helps to fight inflammation, and lowers cholesterol levels.","Has been studied for possible effects in lowering blood sugar levels.
It is also an antioxidant, helps to fight inflammation, and lowers cholesterol levels.
All spice is an antioxidant as well and possesses anti-inflammatory and cancer-fighting properties."
Abu Auf Instant Coffee 2 x 1 - 10 gram,Abu auf,6.65,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hb7/h0b/31511660658718/570759_main.jpg_200Wx200H,Abu Auf Instant Coffee 2 x 1 - 10 gram,https://cdnprod.mafretailproxy.com/sys-master-root/hd6/h01/31511660920862/570759_main.jpg_1700Wx1700H,https://www.carrefouregypt.com/mafegy/en/mixes-sachets/abu-auf-instant-coffee-2-1-10g/p/570759,570759,,Carrefour,Egypt,Beverages,Coffee,"This smooth coffee mix is an excellent way to kick start the day.
It is easy to make without any hassle.
Perfect for everyday use as a part of your balanced lifestyle.
It does not contain any added preservatives, colour or artificial flavour.","Abu Auf Coffee is a refreshing instant coffee.
It is made with pure coffee beans that are slow-roasted to achieve the signature aroma.
Awaken your mind and body with the intense taste and wonderfully refreshing aroma of this coffee.
This smooth coffee mix is an excellent way to kick start the day.
It is easy to make without any hassle.
Perfect for everyday use as a part of your balanced lifestyle.
It does not contain any added preservatives, colour or artificial flavour."
Haj Arafa Cinnamon - 85gm,Haj Arafa,72.15,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h22/h68/50311408451614/200Wx200H_613882_main.jpg,Haj Arafa Cinnamon - 85gm,https://cdnprod.mafretailproxy.com/sys-master-root/hfb/h60/50311408680990/1700Wx1700H_613882_main.jpg,https://www.carrefouregypt.com/mafegy/en/spices/haj-arafa-cinnamon-85g/p/613882,613882,,Carrefour,Egypt,Food Cupboard,Cooking Ingredients,,
Bisco Misr Nice Coconut Biscuits - 6 Biscuits,Biscomisr,5.6,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h4e/h51/50311544242206/200Wx200H_616717_main.jpg,Bisco Misr Nice Coconut Biscuits - 6 Biscuits,https://cdnprod.mafretailproxy.com/sys-master-root/h1d/h5b/50311544504350/1700Wx1700H_616717_main.jpg,https://www.carrefouregypt.com/mafegy/en/assorted-biscuits/bisco-misr-nice-coconut-biscuit-6p/p/616717,616717,,Carrefour,Egypt,Food Cupboard,"Biscuits, Crackers & Cakes",,
Shabah Mega Hazelnut Wafer - 6 Pieces,El shamadan,38.75,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h2a/h41/49899332304926/200Wx200H_614896_main.jpg,Shabah Mega Hazelnut Wafer - 6 Pieces,https://cdnprod.mafretailproxy.com/sys-master-root/ha9/h48/49899332567070/1700Wx1700H_614896_main.jpg,https://www.carrefouregypt.com/mafegy/en/wafers/shabah-mega-hazelnut-wafer-6p/p/614896,614896,,Carrefour,Egypt,Food Cupboard,"Biscuits, Crackers & Cakes",,
Haj Arafa Light Special Coffee - 50 gram,Haj Arafa,28.55,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/he6/h6d/50143342788638/200Wx200H_616534_main.jpg,Haj Arafa Light Special Coffee - 50 gram,https://cdnprod.mafretailproxy.com/sys-master-root/hca/hbf/50143343083550/1700Wx1700H_616534_main.jpg,https://www.carrefouregypt.com/mafegy/en/turkish-coffee/haj-arafa-coffee-special-light50g/p/616534,616534,,Carrefour,Egypt,Beverages,Coffee,,
Haj Arafa Paprika Oil - 150ml,Haj Arafa,128.55,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h67/hf1/14953938518046/540227_main.jpg_200Wx200H,Haj Arafa Paprika Oil - 150ml,https://cdnprod.mafretailproxy.com/sys-master-root/hd8/he6/14953938845726/540227_main.jpg_1700Wx1700H,https://www.carrefouregypt.com/mafegy/en/flavored-special-oils/haj-arafa-paprika-oil-150m/p/540227,540227,,Carrefour,Egypt,Food Cupboard,Cooking Ingredients,"This oil is perfect for cooking wholesome and nutritious meals.
It also brings shine and smoothness to the skin and hair.","Haj Arafa Paprika Oil is made from 100 percent organic paprika that are carefully sundried to bring out the flavours and aroma.
This oil is perfect for cooking wholesome and nutritious meals.
It also brings shine and smoothness to the skin and hair."
Abu Auf Puffs Onion and Sour Cream - 60gm,Abu auf,16.6,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h67/h6d/49654373122078/200Wx200H_613572_main.jpg,Abu Auf Puffs Onion and Sour Cream - 60gm,https://cdnprod.mafretailproxy.com/sys-master-root/he8/h65/49654373384222/1700Wx1700H_613572_main.jpg,https://www.carrefouregypt.com/mafegy/en/corn-puffs/abu-auf-puffs-onion-s-cream-60g/p/613572,613572,,Carrefour,Egypt,Food Cupboard,"Chips, Dips & Snacks",,
Gawaher Elbow Pasta - 350 gram,Gawaher,9,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h5a/hd2/29147329855518/469045_main.jpg_200Wx200H,Gawaher Elbow Pasta - 350 gram,https://cdnprod.mafretailproxy.com/sys-master-root/h65/h2e/29147330117662/469045_main.jpg_1700Wx1700H,https://www.carrefouregypt.com/mafegy/en/special-shape-pasta/gawaher-pasta-elbow-350g/p/469045,469045,350g,Carrefour,Egypt,Food Cupboard,"Rice, Pasta & Pulses","Very healthy since it is nil cholesterol, nil fat, and a good source of iron, protein, and fiber.
You can prepare hot delicious penne pasta using Gawaher pasta in a fairly lesser time.
The perfect hollow center of the pasta helps hold sauce and makes it more delicious.","Gawaher is made with 100% fine quality durum wheat.
Very healthy since it is nil cholesterol, nil fat, and a good source of iron, protein, and fiber.
You can prepare hot delicious penne pasta using Gawaher pasta in a fairly lesser time.
The perfect hollow center of the pasta helps hold sauce and makes it more delicious."
Haj Arafa Oat Flour - 500 gram,Haj Arafa,79.55,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h52/haa/50143349866526/200Wx200H_616536_main.jpg,Haj Arafa Oat Flour - 500 gram,https://cdnprod.mafretailproxy.com/sys-master-root/h16/h59/50143350292510/1700Wx1700H_616536_main.jpg,https://www.carrefouregypt.com/mafegy/en/healthy-flour/haj-arafa-oat-flour-500g/p/616536,616536,,Carrefour,Egypt,Food Cupboard,Sugar & Home Baking,,
Haj Arafa Oat Fusili Pasta - 400 gram,Haj Arafa,63.75,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h37/h80/34674369265694/560990_main.jpg_200Wx200H,Haj Arafa Oat Fusili Pasta - 400 gram,https://cdnprod.mafretailproxy.com/sys-master-root/hf6/h83/34674369396766/560990_main.jpg_1700Wx1700H,https://www.carrefouregypt.com/mafegy/en/healthy-pasta/hajarafa-oat-pasta-fusilli-400g/p/560990,560990,400g,Carrefour,Egypt,Food Cupboard,"Rice, Pasta & Pulses","It is low in cholesterol and high in fibre.
So you can rest assured that you are eating healthy and tasty food every day.
The twisty fusilli pasta from Borges is a favourite for kids and elders alike and is made from the best quality durum wheat and other fresh ingredients.
It has high protein content, zero cholesterol, no trans fat and a low glycaemic index.
The perfect shape and size make it easier for any sauce and dressing to seep.","Haj Arafa Pasta is crafted from the finest Durum semolina and turned into mouth-watering and nutritious meals.
It is low in cholesterol and high in fibre.
So you can rest assured that you are eating healthy and tasty food every day.
The twisty fusilli pasta from Borges is a favourite for kids and elders alike and is made from the best quality durum wheat and other fresh ingredients.
It has high protein content, zero cholesterol, no trans fat and a low glycaemic index.
The perfect shape and size make it easier for any sauce and dressing to seep."
Haj Arafa Burger Spices - 65 Gram,Haj Arafa,21.4,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h80/h51/14953345581086/539402_main.jpg_200Wx200H,Haj Arafa Burger Spices - 65 Gram,https://cdnprod.mafretailproxy.com/sys-master-root/h71/h4b/14953345712158/539402_main.jpg_1700Wx1700H,https://www.carrefouregypt.com/mafegy/en/spices/haj-arafaburger-spices65g/p/539402,539402,,Carrefour,Egypt,Food Cupboard,Cooking Ingredients,"Haj Arafa Burger Spices of fresh vegetables blended with the chef-curated spice blend.
Made with perfection, crispy from outside, soft and crunchy inside, Heres, your Do it Yourself Burger.","Haj Arafa Burger Spices of fresh vegetables blended with the chef-curated spice blend.
Made with perfection, crispy from outside, soft and crunchy inside, Heres, your Do it Yourself Burger.
It is cholesterol-free and has enhanced nutrition as it is precooked in pure vegetable oil and frozen using superior technology that locks cleanness and nutrition."
Haj Arafa Sidr Mountain Honey - 500 gram,Haj Arafa,269.05,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hdf/h30/49772123455518/200Wx200H_613877_main.jpg,Haj Arafa Sidr Mountain Honey - 500 gram,https://cdnprod.mafretailproxy.com/sys-master-root/h11/h27/49772123717662/1700Wx1700H_613877_main.jpg,https://www.carrefouregypt.com/mafegy/en/natural-honey/haj-arafa-sider-mountain-honey-500g/p/613877,613877,,Carrefour,Egypt,Food Cupboard,"Jams, Honey & Spreads",,
Haj Arafa Tahbysha Spices - 100 gram,Haj Arafa,51,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hfb/h68/14953332277278/539407_main.jpg_200Wx200H,Haj Arafa Tahbysha Spices - 100 gram,https://cdnprod.mafretailproxy.com/sys-master-root/hec/h62/14953332408350/539407_main.jpg_1700Wx1700H,https://www.carrefouregypt.com/mafegy/en/spices/haj-arafatahbysha100g/p/539407,539407,,Carrefour,Egypt,Food Cupboard,Cooking Ingredients,"Perfect to be served with a piping hot cup of tea or coffee, this easy-to-make recipe will be an instant hit in your households.","Haj Arafa Tahbysha Spices brings you its range of blended spices to make all your dishes extra special.
Its various spice mixes are well known all around the world.
Fries recipes, by Haj Arafa Fries Spices is Loaded with spicy and scrumptious flavour, this snack recipe will be a great way to treat your taste buds to an enticing meal.
Perfect to be served with a piping hot cup of tea or coffee, this easy-to-make recipe will be an instant hit in your households."
Haj Arafa Arabic Coffee - 250gm,Haj Arafa,191.75,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h70/h81/49716810317854/200Wx200H_613889_main.jpg,Haj Arafa Arabic Coffee - 250gm,https://cdnprod.mafretailproxy.com/sys-master-root/hef/h88/49716810579998/1700Wx1700H_613889_main.jpg,https://www.carrefouregypt.com/mafegy/en/arabic/haj-arafa-arabic-coffee-250g/p/613889,613889,,Carrefour,Egypt,Beverages,Coffee,,
Haj Arafa Creamy Chicken Soup - 100 Gram,Haj Arafa,38.2,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h92/hf9/14953348988958/539403_main.jpg_200Wx200H,Haj Arafa Creamy Chicken Soup - 100 Gram,https://cdnprod.mafretailproxy.com/sys-master-root/h9f/hb8/14953349120030/539403_main.jpg_1700Wx1700H,https://www.carrefouregypt.com/mafegy/en/desiccated-soups/haj-arafacreamy-chiken-soup100g/p/539403,539403,,Carrefour,Egypt,Food Cupboard,"Tins, Jars & Packets","It's hard to resist Haj Arafa brings you flavoursome creamy chicken soup that is as tasty as it is healthy.
Made up of real chicken broth, spring onions and Haj Arafa signature seasonings, this soup is good at the beginning of a meal or just as a meal in itself.
Just add a cup of hot water and get ready for a healthy, light unbelievably delicious soup experience.","This creamy yet healthy soup is the ideal way to satisfy your senses Its delicious nutritious and perfect for any time of day Perfectly creamy it blends the full flavour of chicken and carefully selected spices Great for cosy nights together.
So good and creamy, it's hard to resist Haj Arafa brings you flavoursome creamy chicken soup that is as tasty as it is healthy.
Made up of real chicken broth, spring onions and Haj Arafa signature seasonings, this soup is good at the beginning of a meal or just as a meal in itself.
Just add a cup of hot water and get ready for a healthy, light unbelievably delicious soup experience."
Abu Auf Ground Black Pepper - 35gm,Abu auf,13.75,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h60/h70/50634114826270/200Wx200H_618163_main.jpg,Abu Auf Ground Black Pepper - 35gm,https://cdnprod.mafretailproxy.com/sys-master-root/h36/h21/50634115088414/1700Wx1700H_618163_main.jpg,https://www.carrefouregypt.com/mafegy/en/black-pepper/abu-auf-ground-black-pepper-35g/p/618163,618163,,Carrefour,Egypt,Food Cupboard,Cooking Ingredients,,
El Bawadi Clover Honey - 420gm,El bawadi,59.45,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h4d/h44/50930286526494/200Wx200H_601588_main.jpg,El Bawadi Clover Honey - 420gm,https://cdnprod.mafretailproxy.com/sys-master-root/h8e/h40/50930286657566/1700Wx1700H_601588_main.jpg,https://www.carrefouregypt.com/mafegy/en/natural-honey/el-bawadi-clover-honey-420g/p/601588,601588,,Carrefour,Egypt,Food Cupboard,"Jams, Honey & Spreads",,
Abu Ali Hawawshi Spices - 40 gram,Abu ali,17.1,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h07/hdf/14952403664926/108227_main.jpg_200Wx200H,Abu Ali Hawawshi Spices - 40 gram,https://cdnprod.mafretailproxy.com/sys-master-root/hc6/he2/14952403795998/108227_main.jpg_1700Wx1700H,https://www.carrefouregypt.com/mafegy/en/spices/abu-ali-hawawshi-species-40g/p/108227,108227,,Carrefour,Egypt,Food Cupboard,Cooking Ingredients,"Cinnamon is the dominant flavour, with nutmeg and allspice.
It is often used in baking, or to complement fruits or other sweet foods.","Mixed spice, also called pudding spice, is a British blend of sweet spices, similar to the pumpkin pie spice used in the United States.
Cinnamon is the dominant flavour, with nutmeg and allspice.
It is often used in baking, or to complement fruits or other sweet foods."
Haj Arafa Dark Coffee - 100 gram,Haj Arafa,43.85,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h14/h5c/50143350358046/200Wx200H_616526_main.jpg,Haj Arafa Dark Coffee - 100 gram,https://cdnprod.mafretailproxy.com/sys-master-root/h0c/h6a/50143350784030/1700Wx1700H_616526_main.jpg,https://www.carrefouregypt.com/mafegy/en/turkish-coffee/haj-arafa-coffee-dark-100g/p/616526,616526,,Carrefour,Egypt,Beverages,Coffee,,
Tahbisha Salt&amp;Garlic - 100 Gram,Ta7Bisha,25,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h7a/h2e/14952469397534/473427_main.jpg_200Wx200H,Tahbisha Salt&amp;Garlic - 100 Gram,https://cdnprod.mafretailproxy.com/sys-master-root/h89/h34/14952469528606/473427_main.jpg_1700Wx1700H,https://www.carrefouregypt.com/mafegy/en/gourmet-spices-condiments/tahbisha-salt-garlic-100g/p/473427,473427,,Carrefour,Egypt,Food Cupboard,Cooking Ingredients,"Can also be used in dry soups mixes, sauces, salad dressings, food preparations, vegetable mixes, food stuffing and fast foods.
Filled with goodness that satisfies your taste buds.
The purpose of adding salt to make food taste salty it is to enhance the flavors of the ingredients.
As has been noted by a number of famous cooks, salt makes food taste more like itself.
Getting the right salt with garlic into cooked food is what makes the food yummy, which is what seasoning is all about.","Tahbisha natural and milled table salt with garlic are use as a substitute for fresh garlic, premium quality dehydrated garlic.
Can also be used in dry soups mixes, sauces, salad dressings, food preparations, vegetable mixes, food stuffing and fast foods.
Filled with goodness that satisfies your taste buds.
The purpose of adding salt to make food taste salty it is to enhance the flavors of the ingredients.
As has been noted by a number of famous cooks, salt makes food taste more like itself.
Getting the right salt with garlic into cooked food is what makes the food yummy, which is what seasoning is all about."
Mimix Frulla Toffee with Cherry - 8 Toffees - 12 Pieces,Mimix,60.6,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h4b/h20/49986566684702/200Wx200H_535269_main.jpg,Mimix Frulla Toffee with Cherry - 8 Toffees - 12 Pieces,https://cdnprod.mafretailproxy.com/sys-master-root/h3c/h1a/49986566815774/1700Wx1700H_535269_main.jpg,https://www.carrefouregypt.com/mafegy/en/fruit-flavored-candy/mimix-frulla-toffee-cherry-8p-12/p/535269,535269,8 Pieces x Pack of 12,Carrefour,Egypt,Food Cupboard,Chocolate & Candy,"Fruit toffee will give you pleasure.
The delicious taste of cherries mesmerizes your taste-buds so you can't resist a smile.","Cherry flavored toffee with real fruit juices and purees, no artificial colors, cholesterol-free and 0g trans fat.
Fruit toffee.
Fruit toffee will give you pleasure.
The delicious taste of cherries mesmerizes your taste-buds so you can't resist a smile."
Corona Chocolate Dark 72% - 1 Piece,Corona,29.6,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h09/hdc/51510087647262/200Wx200H_618409_main.jpg,Corona Chocolate Dark 72% - 1 Piece,https://cdnprod.mafretailproxy.com/sys-master-root/h4a/hd8/51510087778334/1700Wx1700H_618409_main.jpg,https://www.carrefouregypt.com/mafegy/en/chocolates/corona-chocolate-dark-72-1p/p/618409,618409,,Carrefour,Egypt,Food Cupboard,Chocolate & Candy,,
Ahlawy Wafer with Vanilla - 23 gram - 12 Pieces,Americana,36.15,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h4e/h65/49910268461086/200Wx200H_615226_main.jpg,Ahlawy Wafer with Vanilla - 23 gram - 12 Pieces,https://cdnprod.mafretailproxy.com/sys-master-root/hc1/h57/49910268854302/1700Wx1700H_615226_main.jpg,https://www.carrefouregypt.com/mafegy/en/wafers/ahlawy-wafer-vanilla-23g-12/p/615226,615226,,Carrefour,Egypt,Food Cupboard,"Biscuits, Crackers & Cakes",,
Khabaz El Forat All Purpose Flour - 1 kg,Khabaz Elforat,33.45,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/haa/h4a/14610622382110/451241_main.jpg_200Wx200H,Khabaz El Forat All Purpose Flour - 1 kg,https://cdnprod.mafretailproxy.com/sys-master-root/h9b/h44/14610622513182/451241_main.jpg_1700Wx1700H,https://www.carrefouregypt.com/mafegy/en/baking-flour/khbaz-el-forat-flour-all-purpose1k/p/451241,451241,1kg,Carrefour,Egypt,Food Cupboard,Sugar & Home Baking,"Uses a convenient process that ensures 100% pure flour and its natural dietary fiber and nutrient retention.
Strengthens your immune system and improves digestion, promotes healthy metabolism function, packaging may vary.","Essential nutrition is contained which helps in easy digestion and boosting immunity, uses a convenient process that ensures 100% pure flour and its natural dietary fiber and nutrient retention.
Strengthens your immune system and improves digestion, promotes healthy metabolism function, packaging may vary."
Shahd Corn Oil - 800ml,Shahd,70.4,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h73/h9f/49441352876062/200Wx200H_611055_main.jpg,Shahd Corn Oil - 800ml,https://cdnprod.mafretailproxy.com/sys-master-root/hed/hf0/49441353138206/1700Wx1700H_611055_main.jpg,https://www.carrefouregypt.com/mafegy/en/corn-oil/shahd-corn-oil-800-m/p/611055,611055,,Carrefour,Egypt,Food Cupboard,Cooking Ingredients,,
Haj Arafa Oat Quick Cooking - 500 gram,Haj Arafa,56.6,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h7a/h6d/50143353143326/200Wx200H_616537_main.jpg,Haj Arafa Oat Quick Cooking - 500 gram,https://cdnprod.mafretailproxy.com/sys-master-root/h95/h5f/50143353569310/1700Wx1700H_616537_main.jpg,https://www.carrefouregypt.com/mafegy/en/oats/haj-arafa-oat-quick-cooking-500g/p/616537,616537,,Carrefour,Egypt,Food Cupboard,Breakfast Cereals & Bars,,
Ahlawy Wafer with Vanilla - 23 gram,Americana,3.05,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hde/h6f/49910268133406/200Wx200H_615227_main.jpg,Ahlawy Wafer with Vanilla - 23 gram,https://cdnprod.mafretailproxy.com/sys-master-root/h5f/h68/49910268395550/1700Wx1700H_615227_main.jpg,https://www.carrefouregypt.com/mafegy/en/wafers/ahlawy-wafer-vanilla-23g/p/615227,615227,,Carrefour,Egypt,Food Cupboard,"Biscuits, Crackers & Cakes",,
Abu Ali Curry Spices 160g,Abu ali,74.55,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h16/h4a/50124521734174/200Wx200H_283424_main.jpg,Abu Ali Curry Spices 160g,https://cdnprod.mafretailproxy.com/sys-master-root/hd5/h4d/50124521865246/1700Wx1700H_283424_main.jpg,https://www.carrefouregypt.com/mafegy/en/spices-herbs/abu-ali-curry-masala-160g/p/283424,283424,,Carrefour,Egypt,Food Cupboard,Cooking Ingredients,"It has a fantastic blend of spices that will add flavour to your food.
You are sure to fall in love with this tremendous spice mix.","Curry powder is sourced from high-quality ingredients to help you prepare a flavourful curry.
It has a fantastic blend of spices that will add flavour to your food.
You are sure to fall in love with this tremendous spice mix."
Haj Arafa Dark Special Coffee - 100 gram,Haj Arafa,57.1,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h26/hc3/50143271354398/200Wx200H_616529_main.jpg,Haj Arafa Dark Special Coffee - 100 gram,https://cdnprod.mafretailproxy.com/sys-master-root/h99/hb5/50143271747614/1700Wx1700H_616529_main.jpg,https://www.carrefouregypt.com/mafegy/en/turkish-coffee/haj-arafa-coffee-special-dark-100g/p/616529,616529,,Carrefour,Egypt,Beverages,Coffee,,
Haj Arafa Medium Special Coffee - 100 gram,Haj Arafa,57.1,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h41/h4b/50143272796190/200Wx200H_616528_main.jpg,Haj Arafa Medium Special Coffee - 100 gram,https://cdnprod.mafretailproxy.com/sys-master-root/hb1/h0c/50143273222174/1700Wx1700H_616528_main.jpg,https://www.carrefouregypt.com/mafegy/en/turkish-coffee/haj-arafa-coffee-special-medium100g/p/616528,616528,,Carrefour,Egypt,Beverages,Coffee,,
Haj Arafa Marjoram Honey - 500 gram,Haj Arafa,107.05,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h94/hf8/49845073608734/200Wx200H_611910_main.jpg,Haj Arafa Marjoram Honey - 500 gram,https://cdnprod.mafretailproxy.com/sys-master-root/h02/hf1/49845073870878/1700Wx1700H_611910_main.jpg,https://www.carrefouregypt.com/mafegy/en/flavoured-honey/hajarafa-honey-bardaqosh-500g/p/611910,611910,,Carrefour,Egypt,Food Cupboard,"Jams, Honey & Spreads",,
Haj Arafa Medium Coffee - 50 gram,Haj Arafa,21.9,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/ha7/hf4/50143275810846/200Wx200H_616531_main.jpg,Haj Arafa Medium Coffee - 50 gram,https://cdnprod.mafretailproxy.com/sys-master-root/hc6/hb8/50143276171294/1700Wx1700H_616531_main.jpg,https://www.carrefouregypt.com/mafegy/en/turkish-coffee/haj-arafa-coffee-medium50g/p/616531,616531,,Carrefour,Egypt,Beverages,Coffee,,
Abu Auf Pretzels Vinegar and Salt - 30gm,Abu auf,4.1,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hfd/hb5/49716768309278/200Wx200H_613582_main.jpg,Abu Auf Pretzels Vinegar and Salt - 30gm,https://cdnprod.mafretailproxy.com/sys-master-root/hb5/h1b/49716801339422/1700Wx1700H_613582_main.jpg,https://www.carrefouregypt.com/mafegy/en/chips/abu-auf-pretz-vinegar-salt-30g/p/613582,613582,,Carrefour,Egypt,Food Cupboard,"Chips, Dips & Snacks",,
Corona Hazelnut Chocolate - 60 Gram,Corona,19.35,EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hf1/hf2/49406495096862/200Wx200H_485385_main.jpg,Corona Hazelnut Chocolate - 60 Gram,https://cdnprod.mafretailproxy.com/sys-master-root/he2/hec/49406495227934/1700Wx1700H_485385_main.jpg,https://www.carrefouregypt.com/mafegy/en/chocolates/corona-chocolate-w-hazelnut-60g/p/485385,485385,60g,Carrefour,Egypt,,,,
